,C,I,G,NX,GDP_proxy
2021-04-01,1326.25,334.7984166666667,337.36283333333336,-7.2005,1991.2107500000002
2021-05-01,1329.2083333333333,334.7984166666667,337.36283333333336,-7.284499999999998,1994.0850833333334
2021-06-01,1348.6333333333334,334.7984166666667,337.36283333333336,-7.685666666666666,2013.1089166666668
2021-07-01,1351.9583333333333,352.73541666666665,339.68083333333334,-7.284916666666669,2037.0896666666665
2021-08-01,1365.8833333333332,352.73541666666665,339.68083333333334,-7.506166666666667,2050.793416666667
2021-09-01,1373.125,352.73541666666665,339.68083333333334,-7.800666666666668,2057.7405833333337
2021-10-01,1391.1666666666667,383.26533333333333,343.64841666666666,-7.096500000000001,2110.9839166666666
2021-11-01,1404.0833333333333,383.26533333333333,343.64841666666666,-8.335333333333331,2122.6617499999998
2021-12-01,1408.7916666666667,383.26533333333333,343.64841666666666,-8.365833333333333,2127.3395833333334
2022-01-01,1418.1499999999999,398.73499999999996,346.03183333333334,-8.755333333333333,2154.1614999999997
2022-02-01,1428.0083333333332,398.73499999999996,346.03183333333334,-8.710833333333333,2164.064333333333
2022-03-01,1447.6166666666668,398.73499999999996,346.03183333333334,-9.998416666666666,2182.385083333333
2022-04-01,1457.8166666666666,398.87850000000003,352.49775,-8.653833333333333,2200.5390833333336
2022-05-01,1464.1583333333335,398.87850000000003,352.49775,-8.514750000000003,2207.0198333333337
2022-06-01,1478.9666666666665,398.87850000000003,352.49775,-8.283166666666665,2222.05975
2022-07-01,1478.6666666666667,400.13533333333334,354.2935,-7.387916666666667,2225.707583333334
2022-08-01,1491.4583333333333,400.13533333333334,354.2935,-7.3025833333333345,2238.5845833333333
2022-09-01,1498.9333333333334,400.13533333333334,354.2935,-7.397500000000001,2245.9646666666667
2022-10-01,1508.0166666666667,409.325,359.5148333333333,-8.069249999999998,2268.78725
2022-11-01,1507.8333333333333,409.325,359.5148333333333,-7.063333333333331,2269.609833333333
2022-12-01,1511.2166666666665,409.325,359.5148333333333,-7.743750000000002,2272.3127499999996
2023-01-01,1539.6000000000001,403.93416666666667,362.74925,-7.58925,2298.6941666666667
2023-02-01,1544.3416666666665,403.93416666666667,362.74925,-7.680916666666665,2303.3441666666663
2023-03-01,1542.6083333333333,403.93416666666667,362.74925,-6.8280833333333355,2302.4636666666665
2023-04-01,1553.2250000000001,410.47208333333333,363.3425833333333,-7.8291666666666675,2319.2104999999997
2023-05-01,1556.3666666666668,410.47208333333333,363.3425833333333,-7.449749999999998,2322.731583333333
2023-06-01,1561.8416666666665,410.47208333333333,363.3425833333333,-7.4042499999999976,2328.2520833333333
2023-07-01,1570.875,421.9460833333333,370.8625,-7.357833333333334,2356.32575
