,nominal_gdp,money_supply,money_growth,nominal_gdp_growth,velocity,velocity_growth,qtm_inflation,regime
2020-03-01,1785.2399166666667,15993.8,0.1010312401040876,-0.011263572876004657,1.3394489739774165,-0.10199057836858139,-0.020959338264493792,Low
2020-04-01,1615.2303333333334,17005.8,0.16842213748325263,-0.1119491869125292,1.1397737242587824,-0.2399572170035167,-0.09153507952026406,Low
2020-05-01,1699.85525,17853.4,0.21846250443613346,-0.06803435134121971,1.1425422048461356,-0.23512980886509516,-0.0366673044289617,Low
2020-06-01,1766.0279166666667,18141.1,0.22812326522875281,-0.034299022083726816,1.1681945967995326,-0.2136774823361075,-0.005554217107354691,Low
2020-07-01,1837.2549166666665,18298.0,0.23189820581007847,-0.0033166632196262036,1.204889004262761,-0.19093693612048956,0.020961269689588908,Moderate
2020-08-01,1849.6287499999999,18364.3,0.2296396981526243,0.0006023753388022524,1.2086246140609769,-0.18626376747426188,0.02337593067836243,Moderate
2020-09-01,1868.4054166666665,18596.6,0.23718349588195364,0.00908760396756847,1.2056432358603186,-0.1843670665455992,0.03281642933635444,Moderate
2020-10-01,1885.6208333333336,18751.3,0.23629782492599216,0.017713585281888378,1.2067136678523624,-0.17680548751041336,0.039492337415578796,Moderate
2020-11-01,1883.53925,18979.1,0.24233974170152317,0.012206185533769176,1.1909137419582596,-0.18524204647318154,0.03709769522834162,Moderate
2020-12-01,1893.9455833333334,19133.2,0.24662496742246542,0.01508182121487267,1.187848713231451,-0.1857360090311153,0.04088895839135011,High
2021-01-01,1923.5505,19359.7,0.255753463753827,0.0279533901597937,1.1923018435203023,-0.1814050927743971,0.05434837097942992,High
2021-02-01,1915.2524166666667,19596.7,0.2670007111915691,0.02378092692704392,1.1728009817979559,-0.1919649942704339,0.055035716921135194,High
2021-03-01,1975.9449166666666,19823.4,0.23944278407883068,0.10682317722095136,1.1961287670127223,-0.10699937791516845,0.11244340616366223,High
2021-04-01,1991.2107500000002,20160.7,0.18551905820367187,0.23277201332070097,1.185203341153829,0.039858452540297185,0.20537751074396907,High
2021-05-01,1994.0850833333334,20427.1,0.1441574153942664,0.1730911107480082,1.1714350544130103,0.02528821206282328,0.1494456274570897,High
2021-06-01,2013.1089166666668,20474.7,0.12863608050228503,0.1399077543838374,1.1798613410697105,0.009986987015811355,0.11862306751809638,High
2021-07-01,2037.0896666666665,20628.8,0.1273800415345938,0.10876811279000975,1.1849974792523075,-0.016509010323838558,0.09087103121075525,High
2021-08-01,2050.793416666667,20811.3,0.1332476598617971,0.10875948304040306,1.1825076280674442,-0.021608848346865606,0.09163881151493149,High
2021-09-01,2057.7405833333337,20978.9,0.12810406203284486,0.10133516258181863,1.1770344012317138,-0.023729104744813045,0.08437495728803181,High
2021-10-01,2110.9839166666666,21142.9,0.12754315700778096,0.11951664902585102,1.198123578127882,-0.007118581609975916,0.10042457539780504,High
2021-11-01,2122.6617499999998,21317.4,0.12320394539256352,0.12695381845639786,1.1948896675954852,0.0033385504735949922,0.10654249586615851,High
2021-12-01,2127.3395833333334,21471.6,0.12221687956013616,0.12323162927903542,1.1889228096648596,0.0009042367276608232,0.10312111628779698,High
2022-01-01,2154.1614999999997,21586.8,0.11503793963749431,0.11988819633277092,1.1974881872255265,0.0043498579939382775,0.09938779763143259,High
2022-02-01,2164.064333333333,21685.0,0.10656386024177533,0.12991077024703723,1.1975454000461145,0.02109856542772026,0.10766242566949559,High
