Date,QTM_Inflation,CPI_Inflation,Difference,Abs_Diff,Year,Quarter
2023-07,4.282506263828402,3.28032820234625,1.0021780614821525,1.0021780614821525,2023,Q3
2023-08,3.895105022392721,3.7186358677607556,0.17646915463196544,0.17646915463196544,2023,Q3
2023-09,3.9369688431442076,3.6950823322234427,0.24188651092076485,0.24188651092076485,2023,Q3
2023-10,3.265949050448459,3.2465375076767167,0.019411542771742507,0.019411542771742507,2023,Q4
2023-11,3.4888156651965554,3.139855644977696,0.3489600202188594,0.3489600202188594,2023,Q4
2023-12,3.8097627207856157,3.322200208829762,0.48756251195585376,0.48756251195585376,2023,Q4
2024-01,2.9803520909345145,3.1079425939238847,-0.12759050298937025,0.12759050298937025,2024,Q1
2024-02,3.1050482475047065,3.16642120765831,-0.06137296015360327,0.06137296015360327,2024,Q1
2024-03,3.5431555411408424,3.4690014354717524,0.07415410566908998,0.07415410566908998,2024,Q1
2024-04,3.561633089732631,3.3540471111874304,0.20758597854520078,0.20758597854520078,2024,Q2
2024-05,3.732491956537355,3.238866396761142,0.49362555977621314,0.49362555977621314,2024,Q2
2024-06,3.6518968155361278,2.9700853998204435,0.6818114157156843,0.6818114157156843,2024,Q2
2024-07,3.221877098336702,2.9384633061405374,0.2834137921961646,0.2834137921961646,2024,Q3
2024-08,3.1353069693194304,2.6109140322338353,0.5243929370855951,0.5243929370855951,2024,Q3
2024-09,3.1635399478795914,2.432541464144644,0.7309984837349472,0.7309984837349472,2024,Q3
2024-10,2.9946325225145527,2.5714034967967203,0.4232290257178324,0.4232290257178324,2024,Q4
2024-11,3.07439410210615,2.7141684004842848,0.3602257016218653,0.3602257016218653,2024,Q4
2024-12,3.108683941703629,2.872366268806581,0.23631767289704797,0.23631767289704797,2024,Q4
2025-01,3.5629206515416914,2.999412512831112,0.5635081387105791,0.5635081387105791,2025,Q1
2025-02,3.446268739326809,2.8142703731568686,0.6319983661699404,0.6319983661699404,2025,Q1
2025-03,3.383003470809688,2.4055852640280317,0.9774182067816564,0.9774182067816564,2025,Q1
